timestamp,next_open,open,high,low,close
2019-08-08 15:25:00,106.133,106.134,106.135,106.08,106.133
2019-08-08 15:30:00,106.15,106.133,106.152,106.09,106.15
2019-08-08 15:35:00,106.116,106.15,106.156,106.07,106.116
2019-08-08 15:40:00,106.088,106.116,106.124,106.04,106.086
2019-08-08 15:45:00,106.102,106.088,106.105,106.05,106.103
2019-08-08 15:50:00,106.078,106.102,106.104,106.04,106.078
2019-08-08 15:55:00,106.049,106.078,106.078,106,106.051
2019-08-08 16:00:00,106.059,106.049,106.064,106,106.06
2019-08-08 16:05:00,106.058,106.059,106.065,106.01,106.058
2019-08-08 16:10:00,106.058,106.058,106.064,106.02,106.05
2019-08-08 16:15:00,106.041,106.058,106.069,106.01,106.04
2019-08-08 16:20:00,106.029,106.041,106.043,105.97,106.029
2019-08-08 16:25:00,106.066,106.029,106.072,106,106.067
2019-08-08 16:30:00,106.082,106.066,106.094,106.04,106.082
2019-08-08 16:35:00,106.069,106.082,106.093,106.03,106.073
2019-08-08 16:40:00,106.122,106.069,106.122,106.05,106.122
2019-08-08 16:45:00,106.13,106.122,106.143,106.09,106.138
2019-08-08 16:50:00,106.174,106.13,106.179,106.1,106.173
2019-08-08 16:55:00,106.214,106.174,106.22,106.13,106.214
2019-08-08 17:00:00,106.153,106.214,106.243,106.12,106.153
2019-08-08 17:05:00,106.114,106.153,106.158,106.06,106.114
